datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,count,registered
01/01/2011 00:00,Spring,No,Holiday,Clear,9.84,14.395,81,0,3,16,13
01/01/2011 01:00,Spring,No,Holiday,Clear,9.02,13.635,80,0,8,40,32
01/01/2011 02:00,Spring,No,Holiday,Clear,9.02,13.635,80,0,5,32,27
01/01/2011 03:00,Spring,No,Holiday,Clear,9.84,14.395,75,0,3,13,10
01/01/2011 04:00,Spring,No,Holiday,Clear,9.84,14.395,75,0,0,1,1
01/01/2011 05:00,Spring,No,Holiday,Cloudy,9.84,12.88,75,6.0032,0,1,1
01/01/2011 06:00,Spring,No,Holiday,Clear,9.02,13.635,80,0,2,2,0
01/01/2011 07:00,Spring,No,Holiday,Clear,8.2,12.88,86,0,1,3,2
01/01/2011 08:00,Spring,No,Holiday,Clear,9.84,14.395,75,0,1,8,7
01/01/2011 09:00,Spring,No,Holiday,Clear,13.12,17.425,76,0,8,14,6
01/01/2011 10:00,Spring,No,Holiday,Clear,15.58,19.695,76,16.9979,12,36,24
01/01/2011 11:00,Spring,No,Holiday,Clear,14.76,16.665,81,19.0012,26,56,30
01/01/2011 12:00,Spring,No,Holiday,Clear,17.22,21.21,77,19.0012,29,84,55
01/01/2011 13:00,Spring,No,Holiday,Cloudy,18.86,22.725,72,19.9995,47,94,47
01/01/2011 14:00,Spring,No,Holiday,Cloudy,18.86,22.725,72,19.0012,35,106,71
01/01/2011 15:00,Spring,No,Holiday,Cloudy,18.04,21.97,77,19.9995,40,110,70
01/01/2011 16:00,Spring,No,Holiday,Cloudy,17.22,21.21,82,19.9995,41,93,52
01/01/2011 17:00,Spring,No,Holiday,Cloudy,18.04,21.97,82,19.0012,15,67,52
01/01/2011 18:00,Spring,No,Holiday,Light Rain,17.22,21.21,88,16.9979,9,35,26
01/01/2011 19:00,Spring,No,Holiday,Light Rain,17.22,21.21,88,16.9979,6,37,31
01/01/2011 20:00,Spring,No,Holiday,Cloudy,16.4,20.455,87,16.9979,11,36,25
01/01/2011 21:00,Spring,No,Holiday,Cloudy,16.4,20.455,87,12.998,3,34,31
01/01/2011 22:00,Spring,No,Holiday,Cloudy,16.4,20.455,94,15.0013,11,28,17
01/01/2011 23:00,Spring,No,Holiday,Cloudy,18.86,22.725,88,19.9995,15,39,24
02/01/2011 00:00,Spring,No,Holiday,Cloudy,18.86,22.725,88,19.9995,4,17,13
02/01/2011 01:00,Spring,No,Holiday,Cloudy,18.04,21.97,94,16.9979,1,17,16
02/01/2011 02:00,Spring,No,Holiday,Cloudy,17.22,21.21,100,19.0012,1,9,8
02/01/2011 03:00,Spring,No,Holiday,Cloudy,18.86,22.725,94,12.998,2,6,4
02/01/2011 04:00,Spring,No,Holiday,Cloudy,18.86,22.725,94,12.998,2,3,1
02/01/2011 06:00,Spring,No,Holiday,Light Rain,17.22,21.21,77,19.9995,0,2,2
02/01/2011 07:00,Spring,No,Holiday,Cloudy,16.4,20.455,76,12.998,0,1,1
02/01/2011 08:00,Spring,No,Holiday,Light Rain,16.4,20.455,71,15.0013,0,8,8
02/01/2011 09:00,Spring,No,Holiday,Cloudy,15.58,19.695,76,15.0013,1,20,19
02/01/2011 10:00,Spring,No,Holiday,Cloudy,14.76,17.425,81,15.0013,7,53,46
02/01/2011 11:00,Spring,No,Holiday,Cloudy,14.76,16.665,71,16.9979,16,70,54
02/01/2011 12:00,Spring,No,Holiday,Cloudy,14.76,16.665,66,19.9995,20,93,73
02/01/2011 13:00,Spring,No,Holiday,Cloudy,14.76,17.425,66,8.9981,11,75,64
02/01/2011 14:00,Spring,No,Holiday,Light Rain,14.76,17.425,76,12.998,4,59,55
02/01/2011 15:00,Spring,No,Holiday,Light Rain,13.94,16.665,81,11.0014,19,74,55
02/01/2011 16:00,Spring,No,Holiday,Light Rain,13.94,16.665,71,11.0014,9,76,67
02/01/2011 17:00,Spring,No,Holiday,Clear,13.94,16.665,57,12.998,7,65,58
02/01/2011 18:00,Spring,No,Holiday,Cloudy,14.76,16.665,46,22.0028,10,53,43
02/01/2011 19:00,Spring,No,Holiday,Clear,13.12,14.395,42,30.0026,1,30,29
02/01/2011 20:00,Spring,No,Holiday,Clear,12.3,13.635,39,23.9994,5,22,17
02/01/2011 21:00,Spring,No,Holiday,Clear,10.66,11.365,44,22.0028,11,31,20
02/01/2011 22:00,Spring,No,Holiday,Clear,9.84,10.605,44,19.9995,0,9,9
02/01/2011 23:00,Spring,No,Holiday,Clear,9.02,11.365,47,11.0014,0,8,8
03/01/2011 00:00,Spring,No,Not a weekend,Clear,9.02,9.85,44,23.9994,0,5,5
03/01/2011 01:00,Spring,No,Not a weekend,Clear,8.2,8.335,44,27.9993,0,2,2
03/01/2011 04:00,Spring,No,Not a weekend,Clear,6.56,6.82,47,26.0027,0,1,1
03/01/2011 05:00,Spring,No,Not a weekend,Clear,6.56,6.82,47,19.0012,0,3,3
03/01/2011 06:00,Spring,No,Not a weekend,Clear,5.74,5.305,50,26.0027,0,30,30
03/01/2011 07:00,Spring,No,Not a weekend,Clear,5.74,6.82,50,12.998,1,64,63
03/01/2011 08:00,Spring,No,Not a weekend,Clear,5.74,6.06,50,19.0012,1,154,153
03/01/2011 09:00,Spring,No,Not a weekend,Clear,6.56,6.82,43,26.0027,7,88,81
03/01/2011 10:00,Spring,No,Not a weekend,Clear,7.38,8.335,43,16.9979,11,44,33
03/01/2011 11:00,Spring,No,Not a weekend,Clear,8.2,9.09,40,22.0028,10,51,41
03/01/2011 12:00,Spring,No,Not a weekend,Clear,9.02,10.605,35,19.9995,13,61,48
03/01/2011 13:00,Spring,No,Not a weekend,Clear,9.84,10.605,35,19.0012,8,61,53
03/01/2011 14:00,Spring,No,Not a weekend,Clear,10.66,12.12,30,19.0012,11,77,66
03/01/2011 15:00,Spring,No,Not a weekend,Clear,10.66,12.12,30,16.9979,14,72,58
03/01/2011 16:00,Spring,No,Not a weekend,Clear,10.66,12.12,30,16.9979,9,76,67
03/01/2011 17:00,Spring,No,Not a weekend,Clear,9.84,11.365,30,15.0013,11,157,146
03/01/2011 18:00,Spring,No,Not a weekend,Clear,9.84,12.88,32,7.0015,9,157,148
03/01/2011 19:00,Spring,No,Not a weekend,Clear,8.2,12.88,47,0,8,110,102
03/01/2011 20:00,Spring,No,Not a weekend,Clear,8.2,11.365,47,7.0015,3,52,49
03/01/2011 21:00,Spring,No,Not a weekend,Clear,7.38,9.85,64,8.9981,3,52,49
03/01/2011 22:00,Spring,No,Not a weekend,Clear,5.74,7.575,69,8.9981,0,20,20
03/01/2011 23:00,Spring,No,Not a weekend,Clear,7.38,10.605,55,7.0015,1,12,11
04/01/2011 00:00,Spring,No,Not a weekend,Clear,6.56,9.09,55,7.0015,0,5,5
04/01/2011 01:00,Spring,No,Not a weekend,Clear,6.56,9.09,59,7.0015,0,2,2
04/01/2011 02:00,Spring,No,Not a weekend,Clear,5.74,7.575,63,8.9981,0,1,1
04/01/2011 04:00,Spring,No,Not a weekend,Clear,5.74,9.09,63,6.0032,0,2,2
04/01/2011 05:00,Spring,No,Not a weekend,Clear,4.92,7.575,68,7.0015,0,4,4
04/01/2011 06:00,Spring,No,Not a weekend,Clear,4.92,7.575,74,7.0015,0,36,36
04/01/2011 07:00,Spring,No,Not a weekend,Clear,4.92,7.575,74,8.9981,2,94,92
04/01/2011 08:00,Spring,No,Not a weekend,Clear,5.74,7.575,69,11.0014,2,179,177
04/01/2011 09:00,Spring,No,Not a weekend,Clear,6.56,7.575,64,15.0013,2,100,98
04/01/2011 10:00,Spring,No,Not a weekend,Cloudy,6.56,6.82,69,22.0028,5,42,37
04/01/2011 11:00,Spring,No,Not a weekend,Clear,9.02,10.605,51,19.9995,7,57,50
04/01/2011 12:00,Spring,No,Not a weekend,Clear,9.02,11.365,51,11.0014,12,78,66
04/01/2011 13:00,Spring,No,Not a weekend,Clear,9.84,11.365,56,12.998,18,97,79
04/01/2011 14:00,Spring,No,Not a weekend,Clear,10.66,12.88,52,15.0013,9,63,54
04/01/2011 15:00,Spring,No,Not a weekend,Clear,11.48,13.635,52,16.9979,17,65,48
04/01/2011 16:00,Spring,No,Not a weekend,Clear,12.3,14.395,49,16.9979,15,83,68
04/01/2011 17:00,Spring,No,Not a weekend,Clear,11.48,13.635,48,15.0013,10,212,202
04/01/2011 18:00,Spring,No,Not a weekend,Clear,10.66,12.88,48,12.998,3,182,179
04/01/2011 19:00,Spring,No,Not a weekend,Clear,9.84,12.88,48,7.0015,2,112,110
04/01/2011 20:00,Spring,No,Not a weekend,Clear,9.84,12.88,48,7.0015,1,54,53
04/01/2011 21:00,Spring,No,Not a weekend,Clear,9.02,13.635,64,0,0,48,48
04/01/2011 22:00,Spring,No,Not a weekend,Clear,9.02,12.88,64,6.0032,1,35,34
04/01/2011 23:00,Spring,No,Not a weekend,Clear,8.2,11.365,69,6.0032,2,11,9
05/01/2011 00:00,Spring,No,Not a weekend,Clear,8.2,12.88,64,0,0,6,6
05/01/2011 01:00,Spring,No,Not a weekend,Clear,6.56,9.85,74,6.0032,0,6,6
05/01/2011 02:00,Spring,No,Not a weekend,Clear,6.56,9.85,74,6.0032,0,2,2
05/01/2011 04:00,Spring,No,Not a weekend,Clear,9.84,11.365,48,15.0013,0,2,2
05/01/2011 05:00,Spring,No,Not a weekend,Clear,9.02,11.365,47,11.0014,0,3,3
05/01/2011 06:00,Spring,No,Not a weekend,Clear,8.2,9.85,47,15.0013,0,33,33
05/01/2011 07:00,Spring,No,Not a weekend,Clear,7.38,9.09,43,12.998,1,88,87
05/01/2011 08:00,Spring,No,Not a weekend,Clear,8.2,9.09,40,19.9995,3,195,192
05/01/2011 09:00,Spring,No,Not a weekend,Clear,9.02,9.85,37,22.0028,6,115,109
05/01/2011 10:00,Spring,No,Not a weekend,Clear,9.02,9.85,37,22.0028,4,57,53
05/01/2011 11:00,Spring,No,Not a weekend,Clear,10.66,11.365,33,22.0028,12,46,34
05/01/2011 12:00,Spring,No,Not a weekend,Clear,10.66,11.365,33,22.0028,5,79,74
05/01/2011 13:00,Spring,No,Not a weekend,Clear,11.48,12.88,30,19.9995,6,71,65
05/01/2011 14:00,Spring,No,Not a weekend,Clear,12.3,14.395,28,12.998,10,62,52
05/01/2011 15:00,Spring,No,Not a weekend,Clear,12.3,14.395,28,12.998,7,62,55
05/01/2011 16:00,Spring,No,Not a weekend,Clear,12.3,15.91,28,6.0032,4,89,85
05/01/2011 17:00,Spring,No,Not a weekend,Clear,9.84,11.365,38,12.998,4,190,186
05/01/2011 18:00,Spring,No,Not a weekend,Clear,9.84,12.12,38,8.9981,3,169,166
05/01/2011 19:00,Spring,No,Not a weekend,Clear,9.84,12.88,38,7.0015,5,132,127
05/01/2011 20:00,Spring,No,Not a weekend,Clear,9.02,11.365,47,11.0014,7,89,82
05/01/2011 21:00,Spring,No,Not a weekend,Clear,8.2,9.85,51,12.998,3,43,40
05/01/2011 22:00,Spring,No,Not a weekend,Clear,7.38,9.85,55,8.9981,1,42,41
05/01/2011 23:00,Spring,No,Not a weekend,Clear,8.2,12.88,47,0,1,19,18
06/01/2011 00:00,Spring,No,Not a weekend,Clear,7.38,12.12,55,0,0,11,11
06/01/2011 01:00,Spring,No,Not a weekend,Clear,6.56,11.365,64,0,0,4,4
06/01/2011 02:00,Spring,No,Not a weekend,Clear,6.56,11.365,64,0,0,2,2
06/01/2011 04:00,Spring,No,Not a weekend,Cloudy,6.56,9.85,64,6.0032,0,1,1
06/01/2011 05:00,Spring,No,Not a weekend,Cloudy,5.74,9.09,69,6.0032,0,4,4
06/01/2011 06:00,Spring,No,Not a weekend,Cloudy,5.74,8.335,63,7.0015,0,36,36
06/01/2011 07:00,Spring,No,Not a weekend,Cloudy,6.56,11.365,59,0,0,95,95
06/01/2011 08:00,Spring,No,Not a weekend,Clear,6.56,11.365,59,0,3,219,216
06/01/2011 09:00,Spring,No,Not a weekend,Cloudy,7.38,12.12,51,0,6,122,116
06/01/2011 10:00,Spring,No,Not a weekend,Clear,8.2,12.88,47,0,3,45,42
